binary answers
3-1 -> 2
3-2 -> 1
4-2 -> 2
5-1 -> 4
5-4 -> 1
6-2 -> 4
6-4 -> 2
8-4 -> 4
9-1 -> 8
9-8 -> 1
10-2 -> 8
10-8 -> 2
12-4 -> 8
12-8 -> 4
16-8 -> 8
17-1 -> 16
17-16 -> 1
18-2 -> 16
18-16 -> 2
20-4 -> 16
20-16 -> 4
24-8 -> 16
24-16 -> 8
32-16 -> 16
decimal answers
3-1 -> 2
3-2 -> 1
4-2 -> 2
5-1 -> 4
5-4 -> 1
6-2 -> 4
6-4 -> 2
8-4 -> 4
9-1 -> 8
9-8 -> 1
10-2 -> 8
10-8 -> 2
12-4 -> 8
12-8 -> 4
16-8 -> 8
17-1 -> 16
17-16 -> 1
18-2 -> 16
18-16 -> 2
20-4 -> 16
20-16 -> 4
24-8 -> 16
24-16 -> 8
32-16 -> 16
